Tree \ Buffer radius (m)	2.5	5.0	7.5	10.0	12.5	15.0	17.5	20.0	22.5	25.0	27.5	30.0	32.5	35.0	37.5	40.0	42.5	45.0	47.5	50.0
E_81_R	0.0	55.06	138.55	255.47	419.14	595.67	798.8	1059.72	1364.04	1708.07	2104.09	2534.98	3011.47	3510.32	4044.04	4641.12	5284.68	5960.55	6669.77	7417.17
E_81_N	0.0	3.76	65.89	149.87	299.18	481.49	712.07	989.18	1310.18	1672.84	2070.35	2490.49	2949.01	3472.4	4024.15	4610.26	5247.51	5909.1	6607.74	7353.98
E_80_Q	16.33	75.23	164.58	266.31	405.52	554.46	731.51	994.83	1301.45	1657.94	2033.18	2444.94	2932.88	3463.0	4019.02	4615.96	5237.79	5909.97	6616.84	7357.33
E_80_O	0.0	43.3	105.12	192.57	346.63	513.79	713.12	986.49	1276.24	1621.8	2025.63	2455.93	2919.2	3438.43	4001.81	4597.04	5217.12	5864.42	6565.27	7306.75
E_80_M	0.0	43.47	112.33	204.46	357.51	538.51	739.39	1010.0	1297.07	1630.27	2018.95	2454.82	2921.46	3426.93	3959.11	4544.65	5176.32	5842.53	6553.34	7278.9
E_80_G	5.78	64.68	154.94	281.54	458.26	674.05	919.05	1198.96	1503.72	1837.84	2200.7	2579.45	3003.65	3462.24	3985.6	4585.97	5220.15	5889.62	6584.17	7280.82
E_80_E	11.33	70.24	160.29	292.0	463.65	660.92	897.17	1186.62	1512.03	1877.49	2248.22	2644.41	3093.87	3587.41	4112.09	4668.37	5254.93	5916.33	6620.16	7345.41
E_80_A	2.28	61.19	159.36	296.8	473.52	689.5	938.08	1226.35	1546.15	1899.29	2294.3	2717.17	3192.76	3704.95	4257.26	4853.2	5476.64	6137.77	6849.37	7567.66
E_79_H	9.17	68.07	162.32	290.2	459.69	648.4	888.26	1165.28	1447.95	1768.16	2138.84	2505.15	2938.66	3434.41	3982.02	4578.51	5172.56	5788.09	6478.69	7213.45
E_79_L	16.17	75.07	157.3	263.49	429.05	604.6	801.88	1058.91	1343.91	1684.97	2047.47	2420.57	2858.21	3359.53	3904.61	4511.34	5136.43	5780.82	6482.05	7225.98
E_79_N	11.59	70.49	148.58	246.05	390.05	555.94	774.34	1042.91	1328.17	1623.65	1998.84	2419.33	2894.92	3405.93	3938.18	4518.09	5131.19	5800.82	6520.39	7266.64
E_78_O	5.44	64.35	152.9	272.43	434.14	601.56	800.65	1058.3	1360.2	1700.37	2072.98	2464.82	2895.89	3381.29	3926.29	4518.13	5128.46	5791.29	6506.16	7265.4
E_78_K	2.28	61.19	157.62	291.45	462.39	639.65	854.14	1119.87	1400.23	1723.47	2064.16	2438.33	2896.16	3392.91	3904.3	4487.76	5090.16	5725.67	6425.83	7166.25
E_78_E	0.0	58.51	151.1	281.24	451.1	623.2	833.66	1102.6	1416.8	1774.31	2179.86	2625.47	3094.46	3596.57	4106.19	4667.51	5269.55	5912.9	6601.25	7328.74
E_77_D	6.75	65.65	139.99	243.7	401.13	591.69	839.84	1133.6	1446.4	1781.12	2154.21	2572.14	3051.82	3566.93	4124.72	4717.59	5327.92	5984.8	6685.17	7409.72
E_77_L	15.83	73.38	159.73	278.7	442.1	641.68	885.97	1160.49	1433.71	1750.41	2133.27	2523.82	2947.92	3418.82	3925.25	4475.09	5079.16	5715.46	6422.53	7159.99
E_77_N	0.0	55.21	147.44	273.92	445.97	620.48	844.5	1128.33	1426.01	1767.01	2137.83	2518.81	2956.09	3438.25	3917.17	4472.83	5092.45	5771.04	6474.04	7211.11
E_77_R	0.0	55.37	140.35	258.22	424.55	620.15	860.11	1144.55	1448.18	1794.41	2165.31	2557.86	3017.61	3499.09	4020.85	4592.23	5202.08	5859.9	6570.39	7318.16
E_76_S	8.29	67.19	152.35	258.17	421.72	623.89	865.46	1157.5	1470.01	1828.45	2240.79	2671.75	3147.15	3645.82	4150.35	4711.62	5304.28	5950.21	6646.65	7374.02
E_76_Q	0.0	50.52	134.33	255.11	429.68	618.7	838.69	1121.54	1451.59	1818.4	2224.1	2641.53	3088.91	3570.39	4094.07	4662.69	5246.23	5874.58	6579.44	7310.99
